"R0","N","yr","p_free_vx"
1.5,50,25.8109589041096,0.334
1.5,50,25.9753424657534,0.3365
1.5,50,26.1397260273973,0.3425
1.5,50,26.3041095890411,0.346
1.5,50,26.4684931506849,0.349
1.5,50,26.6328767123288,0.3495
1.5,50,26.7972602739726,0.3545
1.5,50,26.9616438356164,0.358
1.5,50,27.1260273972603,0.361
1.5,50,27.2904109589041,0.3655
1.5,50,27.4547945205479,0.37
1.5,50,27.6191780821918,0.374
1.5,50,27.7835616438356,0.378
1.5,50,27.9479452054795,0.3825
1.5,50,28.1123287671233,0.3855
1.5,50,28.2767123287671,0.392
1.5,50,28.441095890411,0.397
1.5,50,28.6054794520548,0.4005
1.5,50,28.7698630136986,0.405
1.5,50,28.9342465753425,0.408
1.5,50,29.0986301369863,0.4105
1.5,50,29.2630136986301,0.414
1.5,50,29.427397260274,0.4175
1.5,50,29.5917808219178,0.421
1.5,50,29.7561643835616,0.4265
1.5,50,29.9205479452055,0.4305
1.5,50,30.0849315068493,0.435
1.5,50,30.2493150684931,0.438
1.5,50,30.413698630137,0.4415
1.5,50,30.5780821917808,0.4455
1.5,50,30.7424657534247,0.4495
1.5,50,30.9068493150685,0.453
1.5,50,31.0712328767123,0.4565
1.5,50,31.2356164383562,0.461
1.5,50,31.4,0.462
1.5,50,31.5643835616438,0.4645
1.5,50,31.7287671232877,0.4675
1.5,50,31.8931506849315,0.4685
1.5,50,32.0575342465753,0.472
1.5,50,32.2219178082192,0.476
1.5,50,32.386301369863,0.479
1.5,50,32.5506849315069,0.4815
1.5,50,32.7150684931507,0.486
1.5,50,32.8794520547945,0.49
1.5,50,33.0438356164384,0.4935
1.5,50,33.2082191780822,0.4985
1.5,50,33.372602739726,0.5035
1.5,50,33.5369863013699,0.5085
1.5,50,33.7013698630137,0.5095
1.5,50,33.8657534246575,0.5125
1.5,50,34.0301369863014,0.516
1.5,50,34.1945205479452,0.518
1.5,50,34.358904109589,0.5195
1.5,50,34.5232876712329,0.523
1.5,50,34.6876712328767,0.5245
1.5,50,34.8520547945205,0.5275
1.5,50,35.0164383561644,0.531
1.5,50,35.1808219178082,0.5345
1.5,50,35.3452054794521,0.5385
1.5,50,35.5095890410959,0.5415
1.5,50,35.6739726027397,0.5455
1.5,50,35.8383561643836,0.5455
1.5,50,36.0027397260274,0.5475
1.5,50,36.1671232876712,0.5495
1.5,50,36.3315068493151,0.5525
1.5,50,36.4958904109589,0.554
1.5,50,36.6602739726027,0.5585
1.5,50,36.8246575342466,0.563
1.5,50,36.9890410958904,0.5655
1.5,50,37.1534246575342,0.5675
1.5,50,37.3178082191781,0.5705
1.5,50,37.4821917808219,0.5725
1.5,50,37.6465753424658,0.5745
1.5,50,37.8109589041096,0.5765
1.5,50,37.9753424657534,0.5785
