"parameter","value","herd","R0","T_elim","R_v"
"indirect",0.9,"R0 25th pct (2.0)",1.99157647802648,33.244919288622,0.0836462120771121
"indirect",0.9,"R0 median (2.8)",2.80808526201542,35.590747451854,0.117939581004648
"indirect",0.9,"R0 75th pct (4.1)",4.12642819800479,38.4352470005025,0.173309984316201
"indirect",0.9,"R0 90th pct (9.1)",9.1455004281937,48.9810832531955,0.384111017984135
"indirect",0.925,"R0 25th pct (2.0)",1.99157647802648,32.9045246558935,0.0627346590578341
"indirect",0.925,"R0 median (2.8)",2.80808526201542,35.033092313983,0.0884546857534857
"indirect",0.925,"R0 75th pct (4.1)",4.12642819800479,37.4507551816133,0.129982488237151
"indirect",0.925,"R0 90th pct (9.1)",9.1455004281937,45.0104990051937,0.288083263488102
"indirect",0.95,"R0 25th pct (2.0)",1.99157647802648,32.5834332621435,0.0418231060385561
"indirect",0.95,"R0 median (2.8)",2.80808526201542,34.5191856812707,0.0589697905023239
"indirect",0.95,"R0 75th pct (4.1)",4.12642819800479,36.5778810773797,0.0866549921581007
"indirect",0.95,"R0 90th pct (9.1)",9.1455004281937,42.0502197115715,0.192055508992068
