"R0","N","schedule","p_free_20","p_free_50","se_free_20","se_free_50","p_extinct","se_mp20","se_mp50","mp20","mp50","reps"
3,200,"18-month immunity, six-monthly whole-herd booster",0.008,0.9765,0.0019919839356782,0.0033873108803297,0,0.000473578245178014,0.000223556040881267,0.240056970612636,0.10015949777673,2000
3,200,"Lifelong immunity, calves only (paper assumption)",0.005,0.963,0.00157718102955875,0.00422084114839685,0,0.00048065880190638,0.000233053796601691,0.265348941632797,0.111234661455009,2000
3,200,"No vaccination (status quo)",0,0,0,0,0,0.000356312208431065,0.000234645887300924,0.664780496011192,0.664201250873977,2000
5,5,"18-month immunity, annual whole-herd booster",0.8585,0.9995,0.00779351493230108,0.000499874984371065,0.1175,0.00345965799657741,0.00161875467853763,0.308674184300654,0.128899928536748,2000
5,5,"18-month immunity, calves only",0.634,0.9515,0.0107713508902087,0.00480352734977121,0.1105,0.00465139244486156,0.00391184257735731,0.428324206063026,0.23490473014604,2000
5,5,"18-month immunity, six-monthly whole-herd booster",0.848,0.999,0.00802795117075335,0.000706753139363385,0.0965,0.00345517922488974,0.00165150138076407,0.30403463069289,0.127017260986428,2000
5,5,"Lifelong immunity, calves only (paper assumption)",0.8535,0.9995,0.0079068878201224,0.000499874984371065,0.13,0.00354491632638006,0.00170119099570611,0.313436627203586,0.131453347876627,2000
5,5,"No vaccination (status quo)",0.3475,0.6825,0.0106476229741666,0.010408980497628,0.1065,0.00490209941534223,0.00632615651264286,0.67033043862551,0.530654010967577,2000
5,10,"18-month immunity, annual whole-herd booster",0.654,0.9955,0.0106368228339105,0.00149662119455792,0.0015,0.00245826119471857,0.00127321242897744,0.327622539280629,0.140994987097502,2000
5,10,"18-month immunity, calves only",0.2425,0.6075,0.00958367753005077,0.0109188770026958,0.002,0.0029799503211638,0.00394339521367906,0.513330564328788,0.372284491058563,2000
5,10,"18-month immunity, six-monthly whole-herd booster",0.704,0.9955,0.0102074482609514,0.00149662119455792,0.002,0.00244535712749464,0.0012334652275395,0.314239207522174,0.133945861788035,2000
5,10,"Lifelong immunity, calves only (paper assumption)",0.6605,0.9945,0.0105886672910239,0.00165374574829385,5e-04,0.00242017981951241,0.00122814540749128,0.330557383618986,0.14116400190599,2000
5,10,"No vaccination (status quo)",0.0335,0.102,0.00402354010791492,0.00676742196113114,0.0025,0.00199894067981909,0.00290495651827083,0.764196512527028,0.73671179082071,2000
5,20,"18-month immunity, annual whole-herd booster",0.39,0.9925,0.0109064201276129,0.00192921616207204,0,0.00173645134941395,0.000948495473790724,0.341012345624449,0.147918305283086,2000
5,20,"18-month immunity, calves only",0.028,0.109,0.00368890227574546,0.00696846468025777,0,0.00163818798771683,0.00214132914269767,0.558678348822761,0.507963153424045,2000
5,20,"18-month immunity, six-monthly whole-herd booster",0.4405,0.988,0.0111008952341692,0.00243474844696531,0,0.00174779292983656,0.000947683141290334,0.330206067797778,0.142654444346996,2000
5,20,"Lifelong immunity, calves only (paper assumption)",0.4075,0.992,0.0109873506815792,0.0019919839356782,0,0.00171561495960837,0.00092582742751229,0.345387936242165,0.148643398408929,2000
5,20,"No vaccination (status quo)",5e-04,0.001,0.000499874984371093,0.000706753139363385,0,0.000743739057338236,0.000600432178046791,0.78777963924009,0.786006848652441,2000
5,50,"18-month immunity, annual whole-herd booster",0.0835,0.958,0.00618578006398546,0.00448530935387962,0,0.00110581378140517,0.000637063648800674,0.347175380188688,0.152404734658054,2000
5,50,"18-month immunity, calves only",0,5e-04,0,0.000499874984371093,0,0.000804120686451359,0.000576468783170331,0.578709285920434,0.551197580572254,2000
5,50,"18-month immunity, six-monthly whole-herd booster",0.1005,0.9575,0.00672308522926788,0.00451075104611194,0,0.00113141416556737,0.000641203962216629,0.337522738297402,0.147758509630585,2000
5,50,"Lifelong immunity, calves only (paper assumption)",0.0895,0.956,0.00638317123379907,0.00458606585212206,0,0.00110885998909563,0.000647457225138466,0.353268543936381,0.15520322768028,2000
5,50,"No vaccination (status quo)",0,0,0,0,0,0.000422811349513341,0.000274493609095513,0.794868926280514,0.795211250885103,2000
5,100,"18-month immunity, annual whole-herd booster",0.007,0.903,0.00186426929385215,0.00661781686056663,0,0.000797208931968872,0.000466631875415525,0.349992535030221,0.154943046703665,2000
5,100,"18-month immunity, calves only",0,0,0,0,0,0.000536989406328946,0.000376968923103405,0.583188440844005,0.556540659067555,2000
5,100,"18-month immunity, six-monthly whole-herd booster",0.008,0.902,0.0019919839356782,0.00664815763952691,0,0.000795663548299442,0.00046245538714742,0.341719790647905,0.150460496151492,2000
5,100,"Lifelong immunity, calves only (paper assumption)",0.0065,0.913,0.00179690706493129,0.0063020234845643,0,0.00077606098076308,0.000448453163744797,0.354971343876535,0.155982064579833,2000
5,100,"No vaccination (status quo)",0,0,0,0,0,0.000294378151316652,0.000190956575742053,0.797257967401199,0.797426421309144,2000
5,200,"18-month immunity, annual whole-herd booster",0,0.8035,0,0.0088850365784278,0,0.000553956980673256,0.000332632446379404,0.350104586034102,0.155202183269201,2000
5,200,"18-month immunity, calves only",0,0,0,0,0,0.000381044668492848,0.000264792612747991,0.584005165377239,0.558573854182165,2000
5,200,"18-month immunity, six-monthly whole-herd booster",0,0.8255,0,0.00848674702109118,0,0.000563366366494831,0.000328819417018072,0.341645345338654,0.15069803804601,2000
5,200,"Lifelong immunity, calves only (paper assumption)",0,0.8155,0,0.00867351572316555,0,0.000538622686048498,0.00031777347530809,0.356127639604546,0.157066185687227,2000
5,200,"No vaccination (status quo)",0,0,0,0,0,0.000196339610716274,0.000133313644729745,0.799268225632127,0.798951287629724,2000
8,5,"18-month immunity, annual whole-herd booster",0.773,0.9965,0.00936672301287916,0.00132055859392909,0.121,0.00402281639617357,0.00226289417544671,0.383407451559647,0.16870759622961,2000
8,5,"18-month immunity, calves only",0.544,0.899,0.0111369654753887,0.00673791510780597,0.1015,0.00486117109070277,0.00480475619953381,0.521252875821745,0.31649978873979,2000
8,5,"18-month immunity, six-monthly whole-herd booster",0.7945,0.996,0.00903520198999447,0.00141138230115019,0.1025,0.0039795605418545,0.0021216616817075,0.366980207294478,0.159943394433248,2000
8,5,"Lifelong immunity, calves only (paper assumption)",0.7495,0.997,0.00968890473686267,0.00122290637417588,0.1055,0.00393411509870922,0.00217588068960893,0.391677342794942,0.17360424659174,2000
8,5,"No vaccination (status quo)",0.2565,0.541,0.00976493087533138,0.0111426881855323,0.1115,0.00421729541020842,0.00596774611951892,0.785704233948535,0.699252956518807,2000
8,10,"18-month immunity, annual whole-herd booster",0.485,0.97,0.0111753076020305,0.00381444622455213,5e-04,0.0027483960500714,0.00180655651034299,0.426846537762971,0.197461917567759,2000
8,10,"18-month immunity, calves only",0.1455,0.4015,0.00788447049585449,0.0109612442268202,0.0025,0.00273718542481924,0.00414329257641128,0.616270277260833,0.506689522392847,2000
8,10,"18-month immunity, six-monthly whole-herd booster",0.514,0.9765,0.0111759563349183,0.0033873108803297,0.003,0.0027267694413913,0.00170279703433195,0.415996044071531,0.189121307956112,2000
8,10,"Lifelong immunity, calves only (paper assumption)",0.51,0.9735,0.0111781035958699,0.00359150038284837,0.0035,0.00275123029387753,0.00179660856912306,0.423134904991783,0.194176001602847,2000
8,10,"No vaccination (status quo)",0.01,0.0355,0.0022248595461287,0.00413761706783023,0.0015,0.00100996728259666,0.00170235745614396,0.855949314190073,0.846140843719873,2000
8,20,"18-month immunity, annual whole-herd booster",0.2095,0.894,0.00909971840223641,0.00688345843308435,0,0.00193108140520787,0.0014787625065598,0.438944855825339,0.212515844907441,2000
