"strategy","revacc","redose_V","shape","k","D","f_bar","label","R0","Rv_bar"
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,10,0.999999999999996,"R0 90th pct (9.1)",9.1455004281937,0.998688646758786
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,10,0.999999999999996,"R0 median (2.8)",2.80808526201542,0.306642910612094
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,15,1,"R0 25th pct (2.0)",1.99157647802648,0.21748015140049
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,15,1,"R0 75th pct (4.1)",4.12642819800479,0.450605959222121
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,15,1,"R0 90th pct (9.1)",9.1455004281937,0.998688646758747
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,15,1,"R0 median (2.8)",2.80808526201542,0.306642910612082
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,20,1,"R0 25th pct (2.0)",1.99157647802648,0.217480151400489
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,20,1,"R0 75th pct (4.1)",4.12642819800479,0.450605959222118
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,20,1,"R0 90th pct (9.1)",9.1455004281937,0.998688646758741
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,20,1,"R0 median (2.8)",2.80808526201542,0.30664291061208
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,Inf,1,"R0 25th pct (2.0)",1.99157647802648,0.217480151400492
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,Inf,1,"R0 75th pct (4.1)",4.12642819800479,0.450605959222123
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,Inf,1,"R0 90th pct (9.1)",9.1455004281937,0.998688646758753
"Annual campaign: all uninfected animals",TRUE,TRUE,"Near-fixed duration (Erlang k = 20)",20,Inf,1,"R0 median (2.8)",2.80808526201542,0.306642910612084
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,0.257680093426305,"R0 25th pct (2.0)",1.99157647802648,1.53442717083423
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,0.257680093426305,"R0 75th pct (4.1)",4.12642819800479,3.17924198009678
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,0.257680093426305,"R0 90th pct (9.1)",9.1455004281937,7.04622920722702
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.25,0.257680093426305,"R0 median (2.8)",2.80808526201542,2.16351336320529
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,0.448006225506149,"R0 25th pct (2.0)",1.99157647802648,1.19677027905045
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,0.448006225506149,"R0 75th pct (4.1)",4.12642819800479,2.47963695117621
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,0.448006225506149,"R0 90th pct (9.1)",9.1455004281937,5.49567803208401
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.5,0.448006225506149,"R0 median (2.8)",2.80808526201542,1.68742351584199
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,0.566673982107109,"R0 25th pct (2.0)",1.99157647802648,0.986242247975737
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,0.566673982107109,"R0 75th pct (4.1)",4.12642819800479,2.04343537243595
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,0.566673982107109,"R0 90th pct (9.1)",9.1455004281937,4.52891415453085
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,0.75,0.566673982107109,"R0 median (2.8)",2.80808526201542,1.39058296373432
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,0.644788009818267,"R0 25th pct (2.0)",1.99157647802648,0.847660438355411
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,0.644788009818267,"R0 75th pct (4.1)",4.12642819800479,1.75630209221439
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,0.644788009818267,"R0 90th pct (9.1)",9.1455004281937,3.89253387327825
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1,0.644788009818267,"R0 median (2.8)",2.80808526201542,1.19518522657894
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.25,0.699511775607525,"R0 25th pct (2.0)",1.99157647802648,0.750575206489547
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.25,0.699511775607525,"R0 75th pct (4.1)",4.12642819800479,1.5551472569363
