"parameter","value","share_herds_free_50y","share_herds_free_100y","share_herds_Rv_below_1","pop_prev_50y","median_herd_T"
"coverage",0.54,0,0.0526315789473684,0.228070175438596,0.309069919919709,Inf
"coverage",0.56,0,0.0526315789473684,0.280701754385965,0.295918029908637,Inf
"coverage",0.58,0,0.087719298245614,0.298245614035088,0.282811889496928,Inf
"coverage",0.6,0,0.105263157894737,0.298245614035088,0.269754661913031,Inf
"coverage",0.62,0.0175438596491228,0.140350877192982,0.298245614035088,0.256755146667141,Inf
"coverage",0.64,0.0175438596491228,0.192982456140351,0.333333333333333,0.243832411946583,Inf
"coverage",0.66,0.0350877192982456,0.245614035087719,0.368421052631579,0.231019414303834,Inf
"coverage",0.68,0.0350877192982456,0.280701754385965,0.421052631578947,0.218364446664312,Inf
"coverage",0.7,0.0526315789473684,0.298245614035088,0.473684210526316,0.205929227948579,Inf
"coverage",0.72,0.0526315789473684,0.298245614035088,0.491228070175439,0.193782644571294,Inf
"coverage",0.74,0.0526315789473684,0.333333333333333,0.526315789473684,0.181989910574675,Inf
"coverage",0.76,0.0701754385964912,0.403508771929825,0.614035087719298,0.170598373403742,Inf
"coverage",0.78,0.105263157894737,0.473684210526316,0.649122807017544,0.159622850575343,Inf
"coverage",0.8,0.157894736842105,0.526315789473684,0.68421052631579,0.149034435123956,99.0933605464105
"coverage",0.82,0.245614035087719,0.596491228070175,0.701754385964912,0.138756986972477,83.5923718883239
"coverage",0.84,0.298245614035088,0.631578947368421,0.719298245614035,0.128675276784152,72.8840126297484
"coverage",0.86,0.298245614035088,0.666666666666667,0.754385964912281,0.118657060804154,65.0244843778895
"coverage",0.88,0.333333333333333,0.701754385964912,0.754385964912281,0.108585645343529,59.0085550083463
"coverage",0.9,0.421052631578947,0.736842105263158,0.771929824561403,0.0983888051861666,54.2615245201106
"coverage",0.92,0.491228070175439,0.754385964912281,0.807017543859649,0.0880416294286154,50.4295015774219
"coverage",0.94,0.614035087719298,0.754385964912281,0.824561403508772,0.0775245739913929,47.2814587762618
"coverage",0.96,0.666666666666667,0.807017543859649,0.859649122807018,0.0667419546293377,44.6592215405784
"coverage",0.98,0.719298245614035,0.842105263157895,0.87719298245614,0.0555049988474937,42.4501623367028
"coverage",1,0.754385964912281,0.859649122807018,0.894736842105263,0.0437763160126948,40.5714593649686
