"R0","N","schedule","p_free_10y","p_free_20y","p_free_50y","p_free_100y","median_T","Rv"
5,50,"18-month immunity, six-monthly whole-herd booster",0,0.105,0.97,1,28.4821917808219,3.7053409419021
8,50,"18-month immunity, six-monthly whole-herd booster",0,0,0.71,0.99,41.6328767123288,5.92854550704337
1.2,100,"18-month immunity, six-monthly whole-herd booster",0.07,0.775,1,1,16.441095890411,0.889281826056505
1.5,100,"18-month immunity, six-monthly whole-herd booster",0,0.535,1,1,19.1945205479452,1.11160228257063
2,100,"18-month immunity, six-monthly whole-herd booster",0,0.32,1,1,22.7698630136986,1.48213637676084
3,100,"18-month immunity, six-monthly whole-herd booster",0,0.075,0.98,1,27.1260273972603,2.22320456514126
5,100,"18-month immunity, six-monthly whole-herd booster",0,0.015,0.88,1,35.1397260273973,3.7053409419021
8,100,"18-month immunity, six-monthly whole-herd booster",0,0,0.505,0.94,49.7287671232877,5.92854550704337
1.2,200,"18-month immunity, six-monthly whole-herd booster",0.005,0.535,0.995,1,19.358904109589,0.889281826056505
1.5,200,"18-month immunity, six-monthly whole-herd booster",0,0.29,1,1,23.0164383561644,1.11160228257063
2,200,"18-month immunity, six-monthly whole-herd booster",0,0.06,0.995,1,26.7150684931507,1.48213637676084
3,200,"18-month immunity, six-monthly whole-herd booster",0,0.02,0.975,1,30.6191780821918,2.22320456514126
5,200,"18-month immunity, six-monthly whole-herd booster",0,0,0.835,1,40.358904109589,3.7053409419021
8,200,"18-month immunity, six-monthly whole-herd booster",0,0,0.175,0.845,66.2493150684931,5.92854550704337
