"beta" "eff_S" "eff_I"
0.0118270767511822 0.577429620983135 0.854835979744525
0.0104763509758809 0.64713180401354 0.752248956750577
0.00708239600113879 0.532091050634658 0.910971844374278
0.00518101761972514 0.511758242810098 0.806938420538376
0.0051592145489073 0.707072804413421 0.812615359462461
0.00546462518228539 0.489628842153222 0.79143967346002
0.00560732351598372 0.555852029507314 0.721131792577537
0.00504781445153376 0.6339389049838 0.721886306045891
0.00579751126511572 0.64615972452291 0.846384405712549
0.00965949221253429 0.622515661240772 0.72671386321416
0.0101368238105529 0.580793655545947 0.780283806722631
0.00666223033894956 0.642458519181662 0.81781235784077
0.00855871469229065 0.717098995983118 0.824312398967227
0.0087546901659828 0.693070941159025 0.883569702679979
0.00662360347870592 0.671627202408744 0.932701376773113
0.00983381222732062 0.495455118876373 0.838368162605715
0.00983381222732062 0.437095868860089 0.76028055672863
0.0125103667971623 0.438673766508078 0.770305568155553
0.00567728918814288 0.630498857506624 0.77481148454287
0.0136508413660588 0.594629604671471 0.642956342368972
0.0135228976421536 0.626508066471751 0.690246112155823
0.0105491485423276 0.650458585888965 0.6582879968413
0.0130063273181936 0.585286579174336 0.772483382738706
0.010723347604789 0.661503454498151 0.794964638353636
0.0114698142816948 0.434161795563413 0.659269269715744
0.0120416640318783 0.476764701526909 0.708364074377675
0.00833284970078063 0.474680365010043 0.603061406581159
0.0134613911918087 0.494406467380916 0.568417755245859
0.00488979065434504 0.346620104089661 0.631778487888135
0.00488979065434504 0.338241858953991 0.611171135278447
0.00526526766151269 0.48274609066741 0.619894753842378
0.0127751953391976 0.312761102590873 0.691449381833784
0.0117965182768456 0.367312345370817 0.608735210187752
0.0123077672282768 0.667710565650444 0.891001534016987
0.0105129565804341 0.672227638922907 0.92858799294154
0.00936385501486255 0.391378720378944 0.602552726812669
0.0112707074748417 0.308469340242804 0.61459234184601
0.010245549839501 0.463752345853281 0.76503146389908
0.00641344032366875 0.544614191705212 0.840539882569916
0.00746833041758094 0.578788114934579 0.904268499008627
0.00819365633689434 0.671500087644119 0.587243617026265
0.00646987469725694 0.535900967991803 0.672856291723058
0.00634294290051342 0.588971290995233 0.855417195370844
0.00604344226260906 0.504257528893207 0.601232969523936
0.00698119602154275 0.48299895276682 0.71298093742056
0.00662012210895503 0.564340188231819 0.718552360296052
0.00699145864047082 0.551218028043006 0.785559735015728
0.0118106075880528 0.598977000556677 0.693218964426621
0.00589816908942515 0.511764152365817 0.733891247076943
0.0106884852734082 0.684553591753878 0.851246432024457
0.00677413935478502 0.692860047325568 0.645251475977803
0.00599616096256966 0.465183635563285 0.796572102042936
0.00881958591343594 0.561904426362305 0.431105374489085
0.00949571512921382 0.560853824273688 0.866807426924399
0.0100635550177032 0.452294707558094 0.84518797251006
0.010397784421072 0.728237940484886 0.730057008196007
0.0089953890939365 0.511423012874597 0.674901682733317
0.0121885971141709 0.4968070872384 0.537332819456647
0.00892577510571372 0.630664032077054 0.835869719533234
0.0088272474123421 0.645876631988409 0.888602978943615
0.00810585556342108 0.727148421385115 0.87856348468329
